,carat,cut,color,clarity,depth,table,x,y,z,clarity_mod,color_mod,cut_mod,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,1,2,2,3109.1190377847774
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,3,4,1,302.7816359805497
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,3,2,4,1090.4290217636053
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,4,3,4,6944.243982279841
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,1,3,4,16556.595766138147
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,3,0,2,13794.082469264858
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,1,3,4,5030.870032216775
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2,5,3,2931.4251302266925
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,3,1,3,2353.738773241312
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,7,2,4,4871.610030123331
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,3,6,1,6046.975174721575
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,5,3,4,1096.3376753450416
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,5,0,4,1599.6020107849236
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,3,6,4,1010.8470044420037
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,3,6,0,1744.7990404891189
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,2,5,4,1516.652769539759
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,2,1,1,-1738.228578336948
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,1,2,1,19431.411199671296
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,2,4,3,4467.388619040294
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,7,3,4,1809.3842922601334
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,2,2,2,4486.715112670308
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,4,4,2,678.2651461038213
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,1,4,2,4654.509934982058
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4,4,4,5232.605582999738
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,1,6,3,7712.204677250932
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,4,5,3,1471.034497321115
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,5,4,4,2985.6165904986547
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2,3,3,1830.4886570868466
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,5,6,3,2330.682334616411
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,0,1,2,399.60947192815775
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,4,1,2,5422.730085064538
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,5,4,4,1420.4383894173784
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,6,1,4,4092.54548165896
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,1,6,4,3998.4424009950453
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,2,3,2,623.8082708585771
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,3,5,4,6727.560311569995
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,4,6,4,2054.4142446077044
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,3,4,4,6137.076137564139
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,2,6,4,470.8190508250491
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,4,0,3,-911.6963450948206
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,5,6,2,1751.63621322145
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,4,3,4,525.1185200264381
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,4,3,4,-29.332548024141033
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,4,4,4,641.6212335805681
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,7,4,2,9918.870288708727
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,4,0,4,6328.967374743175
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,2,2,3,9193.51392296417
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1,5,2,756.0684601250746
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,7,3,4,1950.5579047034762
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,1,5,3,4480.895652058388
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,3,5,3,1912.8401058543704
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,1,2,4,5290.542103374516
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,1,3,3,7362.819062109014
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,3,2,3,-526.2905290480267
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3,5,4,3528.6555038900988
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,6,2,4,9885.63235849633
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,3,4,1,-850.4745552176946
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,0,4,2,3165.084116630379
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,2,6,4,6305.61704278358
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,1,5,1,4782.295977465922
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,5,2,4,2319.3788827072567
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,7,5,4,2762.927368627703
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,5,6,3,4774.365144181425
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,2,3,1,570.4095836316005
