,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,2807.584637669572
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,853.0655276597251
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1469.8729439257675
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,7198.553326270677
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,18291.28422768398
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,12929.04936427348
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,4303.494545601186
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2674.6431945000772
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,2490.7200404204827
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,3857.7131406512117
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,5678.795379141788
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,810.3573723891956
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1410.5813879917703
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,795.6350267803473
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1542.4426807082377
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1464.9846695540239
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,367.5490375939191
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,20745.655139297927
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4161.806754599842
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,781.9971667859242
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,4159.078457518411
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,801.4620678216155
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,3965.876483326398
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4884.858507439422
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,6801.99324618037
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,1050.6404435321567
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,2295.0066211965986
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2043.2679520510676
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,1425.065856407211
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,1109.880373249693
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,5006.455181464567
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,920.1621372891627
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,3226.503546913112
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,3159.1266537787174
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1261.2314037993974
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,6707.136801543777
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1297.8540250053736
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,6156.453673742211
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,640.6202641103587
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,424.19106295967265
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,846.936833662463
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,743.7474615615765
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,444.751668550118
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,674.9002227041448
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,11957.075584499422
