,date,location,mintemp,maxtemp,rainfall,humidity9am,humidity3pm,pressure9am,pressure3pm,temp9am,temp3pm,raintomorrow_offset1day,labels
0,2012-01-01,Albury,15.7,34.9,0.0,61.0,27.0,1016.5,1013.2,24.2,33.4,0,0
1,2012-01-02,Albury,17.8,36.0,0.0,57.0,30.0,1016.5,1012.9,25.5,35.0,0,0
2,2012-01-03,Albury,19.7,38.9,0.0,55.0,21.0,1015.7,1011.8,26.5,38.8,0,0
3,2012-01-04,Albury,20.5,32.5,0.0,60.0,41.0,1012.2,1011.7,24.5,30.4,0,0
4,2012-01-05,Albury,13.3,30.6,0.4,59.0,23.0,1014.9,1011.6,20.9,29.2,0,0
5,2012-01-06,Albury,12.6,29.2,0.0,43.0,21.0,1015.0,1012.3,18.9,26.8,0,0
6,2012-01-07,Albury,11.7,33.4,0.0,47.0,19.0,1011.7,1007.5,21.6,30.7,0,0
7,2012-01-08,Albury,19.1,26.1,5.6,91.0,85.0,1006.3,1002.1,20.0,22.6,1,0
8,2012-01-09,Albury,12.7,24.6,3.8,56.0,33.0,1010.1,1009.4,16.5,23.3,1,0
9,2012-01-10,Albury,10.8,24.8,0.0,57.0,30.0,1011.2,1008.7,17.9,23.5,0,0
10,2012-01-11,Albury,12.0,19.5,0.4,85.0,34.0,1006.8,1008.6,13.5,18.9,0,0
11,2012-01-12,Albury,6.2,25.0,1.2,52.0,34.0,1017.9,1015.6,14.8,22.3,1,0
12,2012-01-13,Albury,9.9,28.3,0.0,62.0,31.0,1016.4,1013.3,16.6,26.5,0,0
13,2012-01-14,Albury,13.3,29.4,0.0,49.0,26.0,1015.2,1012.6,19.5,27.7,0,0
14,2012-01-15,Albury,15.1,31.0,0.0,52.0,37.0,1017.6,1014.5,20.7,29.7,0,0
15,2012-01-16,Albury,16.5,31.6,0.0,48.0,30.0,1020.9,1017.1,23.5,29.3,0,0
16,2012-01-17,Albury,18.9,33.4,0.0,41.0,30.0,1020.8,1016.6,24.3,31.6,0,0
17,2012-01-18,Albury,16.1,30.7,0.0,64.0,55.0,1016.6,1014.7,21.2,25.0,0,0
18,2012-01-19,Albury,17.8,36.1,0.4,59.0,26.0,1015.7,1012.8,24.8,34.2,0,0
19,2012-01-20,Albury,20.1,36.2,0.0,58.0,23.0,1014.2,1010.2,25.3,34.4,0,0
20,2012-01-21,Albury,18.5,35.3,0.0,56.0,28.0,1013.4,1010.7,24.9,33.5,0,0
21,2012-01-22,Albury,20.9,33.0,0.0,49.0,29.0,1019.9,1017.6,24.5,31.4,0,0
22,2012-01-23,Albury,14.0,32.1,0.0,44.0,23.0,1020.9,1016.5,22.2,30.6,0,0
23,2012-01-24,Albury,16.3,32.8,0.0,55.0,30.0,1017.4,1012.9,21.1,31.1,0,0
24,2012-01-25,Albury,17.8,35.5,0.0,52.0,18.0,1013.2,1009.2,24.6,34.5,0,0
25,2012-01-26,Albury,17.5,36.4,0.0,38.0,24.0,1013.6,1010.0,24.4,34.9,0,0
26,2012-01-27,Albury,19.9,35.4,0.0,50.0,29.0,1015.6,1011.3,24.7,33.6,0,0
27,2012-01-28,Albury,19.9,34.5,0.0,56.0,29.0,1014.1,1008.7,24.9,32.4,0,0
28,2012-01-29,Albury,20.0,36.0,0.0,49.0,28.0,1008.7,1002.4,26.4,33.8,0,0
29,2012-01-30,Albury,20.8,29.1,26.8,92.0,69.0,995.3,995.4,22.6,27.0,1,0
30,2012-01-31,Albury,15.1,27.9,9.0,61.0,33.0,1007.7,1008.2,19.1,26.2,1,0
31,2012-02-01,Albury,14.9,28.5,0.0,52.0,38.0,1013.9,1010.3,18.8,26.7,0,0
32,2012-02-02,Albury,15.2,29.4,0.0,55.0,32.0,1011.2,1006.8,20.1,28.5,0,0
33,2012-02-03,Albury,17.0,29.8,0.0,69.0,39.0,1006.9,1003.3,20.6,27.4,0,0
34,2012-02-04,Albury,15.5,32.5,0.0,63.0,32.0,1005.3,1002.0,21.2,30.7,0,0
35,2012-02-05,Albury,16.0,33.5,0.0,61.0,29.0,1000.9,995.7,22.2,32.9,0,0
36,2012-02-06,Albury,11.1,25.6,1.4,58.0,29.0,1005.5,1004.6,16.9,23.2,1,0
37,2012-02-07,Albury,10.9,28.1,0.0,63.0,29.0,1008.5,1006.5,16.9,25.9,0,0
38,2012-02-08,Albury,12.0,28.9,0.0,61.0,25.0,1011.2,1009.3,17.8,26.6,0,0
39,2012-02-09,Albury,14.8,24.6,0.0,61.0,57.0,1012.2,1010.0,19.6,22.8,0,0
40,2012-02-10,Albury,13.8,27.4,3.6,78.0,43.0,1010.8,1008.1,18.7,22.9,1,0
41,2012-02-11,Albury,11.5,27.8,0.0,69.0,42.0,1011.7,1009.2,16.6,25.1,0,0
42,2012-02-12,Albury,12.0,29.4,3.2,68.0,36.0,1014.6,1012.2,18.0,27.2,1,0
43,2012-02-13,Albury,13.5,29.7,0.0,61.0,30.0,1016.8,1014.5,19.6,28.1,0,0
44,2012-02-14,Albury,14.7,31.4,0.0,60.0,34.0,1019.4,1016.4,21.1,30.0,0,0
45,2012-02-15,Albury,15.0,31.9,0.0,65.0,31.0,1019.4,1015.6,20.8,30.9,0,0
46,2012-02-16,Albury,16.9,28.3,0.4,83.0,63.0,1018.0,1017.2,18.4,23.6,0,0
47,2012-02-17,Albury,17.6,31.3,0.0,75.0,49.0,1015.7,1012.2,21.0,28.9,0,0
48,2012-02-18,Albury,15.9,31.2,0.0,68.0,40.0,1016.2,1013.9,22.0,29.6,0,0
49,2012-02-19,Albury,19.6,28.0,0.0,62.0,54.0,1015.4,1013.3,23.3,26.5,0,0
50,2012-02-20,Albury,16.1,21.4,0.0,82.0,86.0,1013.2,1013.3,19.0,20.5,0,0
51,2012-02-21,Albury,13.5,28.9,1.4,72.0,36.0,1012.6,1010.6,19.3,27.7,1,0
52,2012-02-22,Albury,14.5,30.5,0.0,65.0,37.0,1015.0,1012.7,19.5,28.4,0,0
53,2012-02-27,Albury,18.5,28.0,10.6,88.0,67.0,1015.7,1013.2,21.9,26.9,1,0
54,2012-02-28,Albury,18.8,26.6,38.4,100.0,64.0,1012.0,1010.3,19.5,26.1,1,0
55,2012-02-29,Albury,19.5,24.8,0.6,74.0,69.0,1013.0,1011.1,20.5,23.5,0,0
56,2012-03-01,Albury,17.1,20.9,104.2,97.0,88.0,1002.0,1001.9,19.5,18.5,1,0
57,2012-03-02,Albury,17.0,25.8,36.6,60.0,46.0,1010.9,1011.3,19.1,25.2,1,0
58,2012-03-03,Albury,18.8,19.6,0.0,62.0,92.0,1014.2,1011.1,19.3,17.1,0,0
59,2012-03-04,Albury,16.7,24.8,66.0,100.0,65.0,1009.3,1010.4,19.1,23.1,1,0
60,2012-03-08,Albury,15.1,24.1,0.0,49.0,43.0,1015.8,1010.2,18.3,23.2,0,0
61,2012-03-12,Albury,13.1,27.8,0.0,82.0,46.0,1018.7,1016.9,16.7,26.0,0,0
62,2012-03-13,Albury,13.7,29.9,0.0,77.0,45.0,1019.2,1016.1,18.4,28.0,0,0
